,Restaurant,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
125,ID_5223,Gurgaon,North Indian,100,50,3.9,70,9,30 
126,ID_2093,Gurgaon,"North Indian, Mughlai",150,50,3.1,9,2,30 
127,ID_5969,Gurgaon,Mithai,50,50,2.8,11,2,30 
128,ID_4654,Bangalore,"Burger, Fast Food",200,50,3.8,349,159,45 
129,ID_8146,Pune,"Finger Food, North Indian",300,50,3.0,6,1,30 
130,ID_7674,Noida,"North Indian, Chinese",250,99,4.5,143,110,65 
131,ID_7677,Noida,Bakery,150,50,3.2,7,3,30 
132,ID_4484,Bangalore,"Fast Food, Beverages",100,50,-,-,-,30 
133,ID_669,Delhi,"North Indian, South Indian, Fast Food, Beverages",150,50,3.6,81,42,30 
134,ID_4064,Mumbai,Street Food,50,50,3.7,63,36,45 
135,ID_1181,Noida,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",200,50,3.4,417,181,45 
136,ID_4609,Mumbai,"Street Food, Fast Food",150,50,3.4,20,16,30 
137,ID_5401,Noida,Chinese,150,50,4.2,124,109,30 
138,ID_1215,Pune,"Fast Food, Street Food, Momos",100,50,3.3,12,1,30 
139,ID_1773,Gurgaon,"North Indian, Fast Food",200,50,2.9,47,10,45 
140,ID_1452,Bangalore,"Street Food, Fast Food",100,50,4.0,242,179,65 
141,ID_5440,Pune,"Italian, Beverages",300,50,3.5,12,5,30 
142,ID_553,Noida,Mughlai,150,50,3.4,9,2,30 
143,ID_622,Pune,Fast Food,100,50,-,-,-,30 
144,ID_6537,Noida,"Biryani, North Indian, Mughlai, Kebab, Rolls",250,99,4.7,706,490,30 
145,ID_6951,Hyderabad,South Indian,50,50,4.0,109,28,30 
146,ID_8413,Pune,Desserts,150,50,4.4,584,343,45 
147,ID_5237,Delhi,"Fast Food, Rolls, Beverages",150,50,3.6,37,16,30 
148,ID_1005,Delhi,"Street Food, Fast Food",150,50,4.3,253,118,30 
149,ID_5181,Bangalore,"North Indian, Chinese",150,50,3.4,123,37,30 
150,ID_1766,Pune,"Chettinad, North Indian, Seafood",200,50,4.1,1665,690,30 
151,ID_6145,Pune,"Ice Cream, Fast Food",150,50,3.3,9,3,30 
152,ID_1972,Delhi,"Pizza, Burger, Fast Food, Desserts",200,50,3.9,191,72,45 
153,ID_8614,Gurgaon,"Biryani, Mughlai",100,50,-,-,-,30 
154,ID_308,Bangalore,"Chinese, South Indian, North Indian",250,50,3.0,4,2,30 
155,ID_4468,Noida,South Indian,150,50,3.5,40,6,30 
156,ID_7468,Pune,"North Indian, Street Food, Desserts",150,50,4.0,696,296,45 
157,ID_7299,Mumbai,"Bakery, Desserts",150,50,3.8,72,33,45 
158,ID_4827,Gurgaon,"Chinese, Fast Food, North Indian, Momos",200,99,4.0,334,164,45 
159,ID_8391,Noida,"Cafe, Desserts",200,50,NEW,-,-,30 
160,ID_8049,Noida,"North Indian, Mughlai, Momos",250,50,3.8,173,29,45 
161,ID_1171,Mumbai,Juices,100,50,3.1,5,2,30 
162,ID_4137,Kolkata,"Desserts, Beverages",200,50,4.1,62,50,30 
163,ID_8129,Kolkata,"Chinese, North Indian",100,50,3.8,85,27,30 
164,ID_7583,Kolkata,"Sandwich, Italian, Desserts",250,50,3.8,224,129,45 
165,ID_5352,Noida,Mughlai,200,50,-,-,-,30 
166,ID_6908,Gurgaon,North Indian,100,50,-,-,-,30 
167,ID_1316,Delhi,"Cafe, Italian",600,50,4.2,2653,1581,65 
168,ID_3332,Pune,"North Indian, Chinese",150,50,-,-,-,30 
169,ID_7412,Delhi,"North Indian, Chinese, Rolls",150,50,4.8,326,234,30 
170,ID_8503,Pune,"Bengali, Fast Food",300,50,3.5,90,45,45 
171,ID_8382,Pune,"North Indian, Street Food",200,50,3.9,175,59,45 
172,ID_5921,Pune,North Indian,150,50,3.1,4,-,30 
173,ID_463,Bangalore,"Ice Cream, Desserts",200,50,4.1,-,-,30 
174,ID_1460,Delhi,Mithai,100,50,3.3,15,7,30 
175,ID_4202,Mumbai,"Parsi, Bakery",200,50,4.0,4335,2363,30 
176,ID_975,Mumbai,"Japanese, Sushi",400,50,3.6,163,72,45 
177,ID_8359,Noida,"North Indian, Chinese",550,50,3.4,53,24,30 
178,ID_6548,Gurgaon,"Beverages, Desserts, Ice Cream",150,50,2.9,6,2,45 
179,ID_2002,Delhi,Rolls,50,50,3.1,6,2,30 
180,ID_7261,Mumbai,"North Indian, South Indian, Chinese, Fast Food",350,50,3.0,19,5,45 
181,ID_7696,Bangalore,"North Indian, Chinese",150,99,3.9,216,115,45 
182,ID_4095,Gurgaon,"North Indian, Chinese",200,50,3.7,45,12,45 
183,ID_5986,Pune,"North Indian, Chinese",200,50,3.8,302,138,45 
184,ID_7172,Mumbai,North Indian,150,50,2.8,16,8,45 
185,ID_2780,Mumbai,"Fast Food, Chinese",200,50,3.1,76,36,45 
186,ID_6441,Delhi,Street Food,100,50,3.1,4,1,30 
187,ID_2164,Pune,"Ice Cream, Fast Food, Beverages",150,50,NEW,-,-,30 
188,ID_2053,Pune,South Indian,150,50,3.6,87,45,45 
189,ID_1172,Gurgaon,Cafe,200,50,3.3,9,1,30 
190,ID_3499,Kolkata,"Chinese, Fast Food",100,50,3.2,12,7,30 
191,ID_62,Bangalore,"Chinese, Fast Food, North Indian, Mughlai",300,50,3.4,298,175,65 
192,ID_5414,Bangalore,Desserts,150,50,3.6,18,3,45 
193,ID_7309,Mumbai,"Fast Food, Street Food, Beverages",150,50,3.7,77,39,45 
194,ID_1639,Kolkata,"Fast Food, American",150,50,3.5,101,53,45 
195,ID_3106,Mumbai,"Fast Food, Mughlai",100,50,3.9,116,66,45 
196,ID_2617,Pune,"Fast Food, Biryani, Beverages",200,50,-,-,-,30 
197,ID_2041,Pune,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",650,50,4.4,3248,1603,45 
198,ID_2673,Noida,"Chinese, North Indian",200,50,3.6,125,29,30 
199,ID_7912,Delhi,"Pizza, Beverages",350,50,3.3,11,6,30 
200,ID_3779,Kolkata,"Beverages, Juices, Fast Food",100,50,3.6,31,15,30 
201,ID_3683,Gurgaon,North Indian,150,50,3.0,4,1,30 
202,ID_4508,Bangalore,"Chinese, North Indian",150,50,3.1,192,50,45 
203,ID_4878,Bangalore,"Cafe, Continental, Italian",400,50,4.2,2828,1443,45 
204,ID_2802,Noida,"Bakery, Desserts",150,50,3.2,6,4,30 
205,ID_2814,Delhi,"Japanese, Sushi, Asian",800,50,4.2,721,390,45 
206,ID_188,Hyderabad,"North Indian, Mughlai",150,50,3.3,4,2,30 
207,ID_4614,Noida,"North Indian, Mughlai",200,50,3.7,66,42,30 
208,ID_7647,Noida,"Chinese, Fast Food, Momos",150,50,-,-,-,30 
209,ID_5499,Bangalore,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",150,50,3.5,45,29,45 
210,ID_7594,Mumbai,Burger,200,50,NEW,-,-,30 
211,ID_6436,Pune,South Indian,150,50,3.9,219,108,30 
212,ID_4298,Mumbai,"Salad, Beverages, Healthy Food, Desserts",200,50,3.5,36,24,65 
213,ID_7158,Bangalore,"Ice Cream, Cafe, Pizza, Burger, Beverages",200,50,4.5,2805,1457,45 
214,ID_7750,Bangalore,"Asian, Biryani, North Indian, Desserts",200,50,4.1,37,30,45 
215,ID_7397,Gurgaon,"Continental, Burger, Wraps, Beverages",150,50,4.0,34,27,30 
216,ID_5574,Delhi,"Fast Food, Chinese",150,50,NEW,-,-,30 
217,ID_4635,Pune,Street Food,100,50,NEW,-,-,30 
218,ID_6659,Hyderabad,Chinese,100,50,-,-,-,30 
219,ID_621,Gurgaon,"Mithai, Street Food, Chinese",150,50,3.3,35,16,65 
220,ID_7260,Bangalore,"North Indian, Mughlai",150,50,NEW,-,-,30 
221,ID_5602,Noida,"North Indian, Chinese",250,50,2.8,27,11,30 
222,ID_7252,Bangalore,"Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",250,50,3.9,163,112,30 
223,ID_2879,Mumbai,"South Indian, North Indian, Fast Food",200,50,3.7,182,107,45 
224,ID_2637,Bangalore,"Chinese, North Indian, Street Food",150,50,NEW,-,-,30 
225,ID_6278,Pune,"Chinese, Cantonese","1,000",50,4.7,441,259,30 
226,ID_4625,Delhi,"North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,-,-,30 
227,ID_3176,Gurgaon,"Fast Food, Chinese",150,50,3.5,26,6,30 
228,ID_6778,Pune,Street Food,100,50,-,-,-,30 
229,ID_6312,Pune,"Maharashtrian, South Indian, Chinese",150,50,3.3,12,7,30 
230,ID_6002,Noida,Bakery,50,50,3.2,11,1,30 
231,ID_3655,Mumbai,Mithai,100,99,3.9,60,15,45 
232,ID_3288,Bangalore,"North Indian, South Indian, Fast Food",100,50,-,-,-,30 
233,ID_6406,Kolkata,"Biryani, Mughlai",100,50,3.6,353,53,30 
234,ID_1059,Bangalore,"Chinese, North Indian",100,50,-,-,-,30 
235,ID_8302,Delhi,"North Indian, Rolls",100,50,3.6,27,12,30 
236,ID_6710,Noida,"Pizza, Fast Food",150,50,3.7,43,9,30 
237,ID_731,Kolkata,Bengali,150,50,-,-,-,30 
238,ID_2132,Mumbai,Fast Food,100,50,3.3,10,4,30 
239,ID_3491,Bangalore,"Chinese, Thai",200,50,3.5,13,9,30 
240,ID_6264,Noida,"North Indian, Chinese, Mughlai",300,50,3.4,47,25,30 
241,ID_437,Delhi,"North Indian, Fast Food",100,50,3.3,10,-,30 
242,ID_6300,Bangalore,"Mithai, Street Food",150,50,3.4,13,1,30 
243,ID_7465,Bangalore,"Tibetan, Chinese, Momos",250,50,4.2,633,269,45 
244,ID_1148,Gurgaon,"Fast Food, Burger",150,50,3.5,23,6,30 
245,ID_8026,Pune,"Street Food, Fast Food, Beverages",150,50,3.4,13,10,45 
246,ID_462,Mumbai,Bakery,300,50,3.8,77,52,30 
247,ID_2237,Noida,"North Indian, Chinese",300,50,-,-,-,30 
248,ID_7266,Gurgaon,"North Indian, Fast Food, Chinese",200,50,NEW,-,-,30 
249,ID_1209,Kolkata,"Cafe, Desserts",300,50,3.6,54,34,30 
250,ID_3624,Delhi,"Cafe, Fast Food",200,50,-,-,-,30 
251,ID_376,Noida,"Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai",200,50,3.7,112,41,30 
252,ID_3209,Noida,"Fast Food, Healthy Food",100,50,NEW,-,-,10 
253,ID_6128,Bangalore,"North Indian, Chinese",150,50,-,-,-,30 
254,ID_2947,Noida,"North Indian, Chinese, Mughlai",250,50,3.6,76,38,30 
255,ID_911,Noida,Biryani,100,50,NEW,-,-,30 
256,ID_3342,Noida,"North Indian, Chinese",200,50,-,-,-,65 
257,ID_1427,Pune,"Italian, Fast Food",200,50,3.7,101,29,45 
258,ID_534,Gurgaon,North Indian,150,50,4.1,144,33,30 
259,ID_5511,Bangalore,North Indian,100,50,3.5,49,7,30 
260,ID_5405,Noida,"Desserts, Bakery",150,50,3.5,20,16,30 
261,ID_1004,Mumbai,"Fast Food, Sandwich",100,50,3.0,4,1,30 
262,ID_6107,Mumbai,"Italian, Lebanese, North Indian",150,50,3.2,15,7,30 
263,ID_7260,Gurgaon,"North Indian, Mughlai, Beverages",150,50,-,-,-,30 
264,ID_4625,Delhi,"North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,-,-,30 
265,ID_4593,Mumbai,"Chinese, Mughlai, North Indian, Seafood, Biryani",200,50,3.8,426,196,45 
266,ID_4031,Pune,Ice Cream,100,50,4.0,61,40,30 
267,ID_6013,Kolkata,"Cafe, Spanish, Italian, Mexican, Salad, Juices",250,50,4.1,1307,794,45 
268,ID_2862,Pune,Salad,150,50,3.7,26,10,30 
269,ID_6448,Pune,"Chinese, North Indian, Mughlai",250,50,3.1,9,1,30 
270,ID_3752,Bangalore,"North Indian, South Indian",200,99,3.2,7,2,65 
271,ID_4189,Kolkata,"South Indian, Fast Food",100,50,-,-,-,30 
272,ID_826,Bangalore,"Chinese, Sushi, Asian, Thai",650,50,4.4,925,589,30 
273,ID_7754,Bangalore,"South Indian, North Indian, Chinese",150,50,3.3,24,8,30 
274,ID_1429,Delhi,"North Indian, Rolls, Lebanese",250,50,3.4,40,7,45 
275,ID_342,Pune,South Indian,100,50,3.6,33,8,30 
276,ID_7497,Pune,Maharashtrian,100,0,3.3,12,1,30 
277,ID_7057,Mumbai,"North Indian, Chinese",300,0,3.6,102,48,45 
278,ID_5097,Mumbai,"Chinese, North Indian",150,50,3.7,53,18,30 
279,ID_744,Mumbai,"North Indian, South Indian, Chinese",200,50,3.4,47,6,65 
280,ID_3755,Delhi,"Continental, Pizza, Italian",250,50,3.9,297,145,45 
281,ID_4202,Mumbai,"Parsi, Bakery",200,50,4.0,4335,2363,30 
282,ID_7319,Delhi,"North Indian, Chinese, Fast Food",600,50,3.9,750,536,30 
283,ID_5592,Bangalore,Beverages,100,50,3.6,11,4,45 
284,ID_6055,Mumbai,Fast Food,100,50,3.8,110,53,30 
285,ID_5299,Noida,"Fast Food, Pizza, North Indian, Momos",200,50,4.1,479,247,45 
286,ID_4237,Noida,North Indian,100,50,3.3,15,1,30 
287,ID_5908,Noida,North Indian,200,50,2.4,19,11,30 
288,ID_7532,Gurgaon,"Bakery, Desserts, Mithai",200,50,-,-,-,30 
289,ID_1637,Bangalore,Fast Food,150,50,3.8,112,37,45 
290,ID_3921,Noida,"Mughlai, North Indian, Kebab, Rolls",350,50,3.6,67,11,30 
291,ID_8013,Bangalore,"North Indian, Chinese",350,50,3.6,34,18,30 
292,ID_7271,Hyderabad,South Indian,50,50,3.1,98,10,30 
293,ID_7269,Bangalore,North Indian,100,50,4.2,236,72,45 
294,ID_8281,Pune,"Street Food, Fast Food, North Indian",150,50,2.9,8,5,45 
295,ID_5063,Delhi,"Bakery, Desserts, Fast Food",200,50,3.5,32,10,30 
296,ID_7501,Delhi,"North Indian, South Indian",200,50,2.9,4,3,30 
297,ID_1555,Delhi,"North Indian, Continental, Chinese, Juices",100,50,3.4,25,20,30 
298,ID_2301,Mumbai,"Pizza, Fast Food",200,0,3.6,277,89,30 
299,ID_465,Delhi,North Indian,250,50,3.1,5,-,30 
300,ID_8478,Mumbai,Chinese,200,50,3.4,25,17,30 
301,ID_7301,Noida,"North Indian, Chinese, South Indian, Fast Food",200,50,2.6,123,49,45 
302,ID_4152,Pune,"Fast Food, Beverages",100,50,NEW,-,-,45 
303,ID_4850,Bangalore,"Arabian, North Indian, Biryani, Chinese, Seafood",350,50,2.9,839,245,45 
304,ID_7067,Hyderabad,South Indian,100,50,3.5,237,2,45 
305,ID_4124,Mumbai,Desserts,100,50,-,-,-,30 
306,ID_1543,Bangalore,"North Indian, Chinese",100,50,3.4,29,23,65 
307,ID_1153,Delhi,"Burger, Fast Food",150,50,3.6,374,87,45 
308,ID_2292,Noida,"Fast Food, Pizza",200,50,3.3,32,3,45 
309,ID_6000,Pune,North Indian,100,50,-,-,-,30 
310,ID_2718,Pune,"North Indian, Chinese, Seafood",500,99,3.1,46,32,30 
311,ID_6711,Noida,"South Indian, Chinese",100,50,2.9,43,15,30 
312,ID_4406,Bangalore,"North Indian, Sandwich, Desserts, Beverages, Continental, Chinese, Biryani, Mughlai",200,50,3.9,59,31,30 
313,ID_3969,Mumbai,"Beverages, Desserts, Ice Cream",200,99,3.7,246,83,30 
314,ID_4393,Noida,"Mughlai, North Indian",150,50,3.6,36,12,30 
315,ID_2172,Delhi,"North Indian, Mughlai, Chinese",200,50,3.6,87,28,65 
316,ID_7644,Noida,"Chinese, North Indian",250,99,-,-,-,45 
317,ID_8275,Bangalore,"South Indian, Chinese",100,50,4.0,62,32,30 
318,ID_7115,Bangalore,"South Indian, North Indian, Chinese, Biryani",300,50,4.0,201,54,45 
319,ID_4793,Mumbai,Sandwich,100,50,3.5,44,4,45 
320,ID_2034,Kolkata,"Biryani, Fast Food",100,50,3.4,15,4,30 
321,ID_8367,Noida,"North Indian, Chinese",200,50,3.0,129,42,65 
322,ID_4997,Gurgaon,"North Indian, Mughlai",200,99,3.2,37,7,65 
323,ID_3755,Delhi,"Continental, Pizza, Italian",250,50,3.9,297,145,45 
324,ID_6027,Pune,Fast Food,150,50,-,-,-,30 
325,ID_383,Pune,"Fast Food, Healthy Food",250,50,4.7,707,453,30 
326,ID_5663,Delhi,"Fast Food, Chinese",100,50,3.7,62,22,30 
327,ID_7564,Pune,"Biryani, North Indian",150,50,NEW,-,-,30 
328,ID_3157,Bangalore,North Indian,150,50,-,-,-,30 
329,ID_1475,Bangalore,"Cafe, Tea, Street Food",200,50,4.3,534,318,30 
330,ID_4039,Noida,"Chinese, Thai",200,99,4.1,258,99,45 
331,ID_2426,Delhi,Fast Food,100,50,-,-,-,30 
332,ID_4881,Bangalore,Juices,50,50,3.2,5,2,30 
333,ID_939,Bangalore,"Biryani, North Indian, Chinese, Andhra, South Indian",300,50,4.3,313,205,30 
334,ID_5708,Gurgaon,"Pizza, Fast Food",300,50,3.7,530,165,45 
335,ID_1947,Pune,"Bar Food, North Indian, Italian, Continental",550,50,4.3,3394,1845,30 
336,ID_4345,Mumbai,"North Indian, Chinese, Italian, Finger Food, American",800,99,4.4,1102,766,30 
337,ID_5984,Delhi,North Indian,100,50,2.9,37,16,30 
338,ID_3182,Bangalore,"Biryani, Mughlai, North Indian, Chinese",200,50,3.1,25,9,30 
339,ID_4379,Bangalore,"Fast Food, Biryani, North Indian",200,50,-,-,-,30 
340,ID_8089,Pune,"North Indian, Chinese, Thai, European, Italian",650,50,3.6,186,114,30 
